Years of Experience,Age,Gender,Education Level,Job Role,Location,Industry,Salary (Annual)
11.2,23,Female,Master's,Consultant,Chicago,Healthcare,130887.57
28.5,27,Female,Bachelor's,Product Manager,Tokyo,Tech,124354.47
22.0,49,Female,Master's,Software Engineer,Remote_USA,Healthcare,184477.75
18.0,50,Male,Master's,Product Manager,Singapore,Manufacturing,210278.38
4.7,47,Male,Master's,HR Manager,Singapore,Media,120760.75
4.7,46,Male,Bachelor's,Software Engineer,Austin,Government,121213.89
1.7,33,Male,Master's,Software Engineer,Chicago,Healthcare,99089.75
26.0,26,Female,Master's,Software Engineer,Mumbai,Education,49661.89
18.0,55,Female,Bachelor's,Consultant,Chennai,Tech,44566.12
21.2,58,Female,Master's,DevOps Engineer,Mumbai,Healthcare,57811.16
0.6,36,Female,Bachelor's,Healthcare Administrator,Tokyo,Tech,65662.48
29.1,65,Female,Bachelor's,Sales Rep,Remote_India,Finance,49966.37
25.0,57,Male,High School,Civil Engineer,Seattle,Finance,202749.06
6.4,36,Male,Bachelor's,Consultant,San Francisco,Healthcare,154150.88
5.5,64,Female,Bachelor's,Sales Rep,Hyderabad,Retail,28009.05
5.5,44,Male,Master's,Financial Analyst,Austin,Aerospace,141246.87
9.1,27,Female,High School,Software Engineer,Remote_Bengaluru,Finance,29769.91
15.7,65,Female,Master's,Cloud Engineer,Chicago,Food & Beverage,178676.14
13.0,64,Male,Master's,Product Manager,Remote_USA,Manufacturing,172603.94
8.7,42,Female,Bachelor's,UX Designer,New York,Retail,134099.53
18.4,44,Female,Master's,HR Manager,Hyderabad,Education,36312.7
4.2,64,Female,PhD,Product Manager,San Francisco,Tech,240954.96
8.8,37,Female,Master's,Data Scientist,Remote_Bengaluru,Media,36537.06
11.0,36,Female,Master's,Marketing Specialist,Mumbai,Education,34588.25
13.7,46,Male,PhD,Software Engineer,Remote_Bengaluru,Food & Beverage,44656.63
23.6,57,Male,Master's,Consultant,Delhi,Education,50614.15
6.0,32,Female,Bachelor's,Sales Rep,San Francisco,Media,140846.27
15.4,36,Female,Master's,Marketing Specialist,Remote_India,Pharmaceutical,32588.82
17.8,25,Male,Master's,Marketing Specialist,New York,Finance,190717.1
1.4,42,Male,Bachelor's,Financial Analyst,Mumbai,Finance,30955.07
18.2,34,Female,Bachelor's,Marketing Specialist,Austin,Healthcare,146401.69
5.1,43,Female,Master's,HR Manager,Remote_India,Healthcare,25296.23
2.0,40,Female,High School,Consultant,Toronto,Tech,86959.97
28.5,55,Female,PhD,Consultant,Delhi,Aerospace,60265.3
29.0,35,Male,Bachelor's,Civil Engineer,Mumbai,Retail,49329.58
24.3,25,Male,High School,Data Scientist,Remote_India,Logistics,37318.43
9.1,48,Female,Bachelor's,UX Designer,New York,Media,148036.85
2.9,50,Male,High School,Cloud Engineer,Toronto,Retail,96596.28
20.5,49,Male,Master's,UX Designer,Austin,Automotive,195411.84
13.2,56,Male,PhD,Software Engineer,Singapore,Retail,184778.61
3.7,29,Female,Master's,Financial Analyst,Remote_India,Government,16713.28
14.9,37,Female,High School,Software Engineer,Remote_Bengaluru,Finance,32833.57
1.0,63,Male,High School,Data Scientist,Chennai,Finance,26412.8
27.3,57,Male,Master's,Healthcare Administrator,Bengaluru,Healthcare,67324.73
7.8,51,Female,PhD,Financial Analyst,Delhi,Retail,35375.17
19.9,39,Other,Bachelor's,Product Manager,New York,Retail,172597.3
9.4,23,Male,Bachelor's,Healthcare Administrator,Chennai,Healthcare,25296.24
15.6,34,Female,Bachelor's,DevOps Engineer,Chennai,Finance,32666.26
16.4,25,Male,Master's,UX Designer,Berlin,Automotive,136477.52
5.5,47,Female,Master's,Data Scientist,Mumbai,Education,38169.01
29.1,46,Male,Bachelor's,Civil Engineer,San Francisco,Healthcare,260856.19
23.3,51,Male,Bachelor's,Consultant,Chicago,Consulting,175642.04
28.2,32,Female,Master's,HR Manager,Chennai,Pharmaceutical,43704.11
26.8,28,Female,High School,Cybersecurity Analyst,Seattle,Logistics,187392.71
17.9,52,Male,Bachelor's,HR Manager,Chicago,Healthcare,153098.49
27.7,65,Female,Bachelor's,Product Manager,London,Tech,230986.78
2.7,31,Male,High School,Consultant,Delhi,Healthcare,21672.3
5.9,60,Female,High School,Product Manager,Mumbai,Healthcare,36707.67
1.4,34,Male,Master's,Consultant,Remote_USA,Aerospace,93886.31
9.8,52,Female,Master's,Marketing Specialist,Remote_India,Finance,31563.92
11.7,28,Male,Master's,Software Engineer,Chicago,Logistics,142870.75
8.1,63,Female,Master's,Sales Rep,Remote_India,Healthcare,33929.38
24.9,63,Female,Bachelor's,Product Manager,New York,Logistics,238756.08
10.7,57,Female,Master's,Product Manager,Berlin,Tech,167370.32
8.4,41,Female,Bachelor's,Marketing Specialist,Mumbai,Aerospace,29913.2
16.3,25,Female,Master's,Product Manager,Bengaluru,Automotive,41079.43
4.2,28,Male,PhD,Teacher/Professor,Delhi,Logistics,29956.0
24.1,22,Male,Bachelor's,Software Engineer,Chennai,Tech,36777.6
2.2,65,Female,Bachelor's,HR Manager,San Francisco,Tech,166309.94
29.6,63,Male,Bachelor's,Teacher/Professor,Remote_India,Consulting,46318.42
23.2,34,Female,High School,HR Manager,Chicago,Tech,150893.0
6.0,43,Other,High School,Sales Rep,Toronto,Tech,88411.33
0.2,42,Male,Master's,DevOps Engineer,London,Tech,131644.15
24.5,43,Female,PhD,Product Manager,Remote_USA,Retail,192395.58
21.2,49,Male,Bachelor's,Software Engineer,Remote_Bengaluru,Retail,45843.7
21.9,30,Female,High School,UX Designer,Remote_USA,Tech,141299.62
23.1,47,Male,High School,Software Engineer,San Francisco,Tech,238882.08
2.2,30,Male,Master's,DevOps Engineer,Sydney,Healthcare,109705.01
10.8,36,Female,Bachelor's,Data Scientist,Chennai,Education,31605.91
3.5,31,Female,Bachelor's,Teacher/Professor,Bengaluru,Tech,26515.97
25.9,45,Female,Bachelor's,Teacher/Professor,Bengaluru,Finance,55016.98
18.7,63,Female,Bachelor's,Data Scientist,Remote_USA,Aerospace,178302.42
9.9,29,Male,Bachelor's,Marketing Specialist,Singapore,Food & Beverage,102177.0
1.9,45,Female,Master's,Software Engineer,San Francisco,Food & Beverage,155770.17
9.3,37,Male,Bachelor's,Sales Rep,Remote_USA,Government,103469.5
9.8,47,Female,Master's,Software Engineer,Mumbai,Finance,45977.81
21.9,48,Female,Bachelor's,Cloud Engineer,Mumbai,Consulting,54579.83
19.1,58,Female,Master's,DevOps Engineer,Bengaluru,Healthcare,60517.08
26.6,25,Female,Master's,Data Scientist,Austin,Education,200362.58
14.2,45,Male,High School,Data Scientist,San Francisco,Finance,169939.2
3.6,40,Female,Bachelor's,Consultant,Seattle,Education,114668.41
21.4,57,Male,Bachelor's,Data Scientist,Toronto,Retail,166549.13
22.8,60,Female,Master's,Cybersecurity Analyst,San Francisco,Tech,272866.78
16.8,31,Male,Bachelor's,Financial Analyst,Remote_India,Pharmaceutical,31649.51
23.1,46,Female,PhD,Product Manager,Remote_India,Tech,46761.2
14.8,39,Female,High School,Civil Engineer,London,Finance,150691.83
15.7,40,Male,Master's,Sales Rep,Berlin,Tech,142432.21
12.8,57,Male,Master's,Cloud Engineer,Seattle,Finance,204987.46
0.8,31,Female,Master's,Cloud Engineer,Seattle,Tech,129434.4
3.2,54,Male,Bachelor's,Data Scientist,Bengaluru,Aerospace,45583.76
0.9,26,Male,Bachelor's,Software Engineer,Seattle,Healthcare,110610.11
19.1,56,Male,Master's,Healthcare Administrator,Remote_India,Healthcare,44910.41
9.4,65,Male,Bachelor's,Cybersecurity Analyst,Chennai,Finance,34317.88
15.3,55,Female,Bachelor's,Software Engineer,Berlin,Education,131998.44
27.2,54,Female,Bachelor's,Civil Engineer,San Francisco,Pharmaceutical,265941.07
7.5,42,Male,Bachelor's,Sales Rep,Toronto,Education,78989.54
12.3,38,Male,Bachelor's,Data Scientist,Chicago,Manufacturing,138348.21
22.7,43,Male,Bachelor's,Cybersecurity Analyst,Mumbai,Aerospace,56514.47
6.9,58,Male,Bachelor's,Data Scientist,Bengaluru,Government,40921.72
2.3,36,Male,Master's,Cloud Engineer,Remote_India,Consulting,24706.66
8.7,56,Male,Master's,Data Scientist,Bengaluru,Tech,53034.7
4.8,49,Male,Master's,Marketing Specialist,Sydney,Education,102924.71
27.9,28,Female,PhD,Data Scientist,Toronto,Retail,184714.14
24.2,53,Male,Bachelor's,Financial Analyst,Berlin,Manufacturing,162392.39
19.0,32,Female,High School,HR Manager,New York,Media,146199.99
26.1,31,Female,High School,Data Scientist,London,Manufacturing,186511.24
24.1,30,Female,Bachelor's,Financial Analyst,Remote_Bengaluru,Media,40954.92
5.6,35,Female,PhD,Sales Rep,San Francisco,Tech,177276.38
26.8,34,Female,Bachelor's,Software Engineer,San Francisco,Tech,255385.69
16.2,46,Female,Bachelor's,Teacher/Professor,San Francisco,Finance,186132.68
24.2,23,Female,Bachelor's,Product Manager,New York,Aerospace,190283.83
26.9,56,Female,Bachelor's,Financial Analyst,Mumbai,Media,56353.8
9.5,28,Female,Master's,Sales Rep,Tokyo,Consulting,80777.29
3.3,42,Female,Bachelor's,Sales Rep,Bengaluru,Consulting,27439.91
6.8,39,Male,PhD,Software Engineer,Mumbai,Manufacturing,42223.61
12.8,24,Male,Bachelor's,UX Designer,Tokyo,Automotive,74409.55
24.5,63,Male,High School,Sales Rep,Seattle,Media,213309.05
25.8,60,Female,Master's,Consultant,Berlin,Education,189603.3
0.2,62,Female,High School,Civil Engineer,Mumbai,Consulting,30394.77
15.3,32,Female,PhD,Financial Analyst,Delhi,Tech,42261.81
